,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Término Central
0,compania,0.4329238534,['Synonymous<--empresa'],Synonymous,Synonymous,Synonymous,aspectos,0.4474835396,-,Undetermined,Undetermined,Undetermined,companies,0.5290908217,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Synonymous,Synonymous,Synonymous,firm,0.4080915451,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,firm,0.4007951021,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,compania,0.4024181068,['Synonymous<--empresa'],Synonymous,Synonymous,Synonymous,companies,0.6029775143,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Synonymous,Synonymous,Synonymous,Company
1,firma,0.355956316,['Synonymous<--empresa'],Synonymous,Synonymous,Synonymous,sabes,0.4411070347,-,Undetermined,Undetermined,Undetermined,companys,0.4585912526,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,companies,0.3147827387,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Synonymous,Synonymous,Synonymous,firms,0.3569990695,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,consultora,0.3694702387,['Third party<--empresa'],Third party,Third party,Third party,firm,0.584902823,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
2,consultora,0.3467699289,['Third party<--empresa'],Third party,Third party,Third party,clave,0.414065659,-,Security mechanisms,Security mechanisms,Security mechanisms,data,0.4555988908,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,clashes,0.29272452,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,executives,0.333214581,-,Third party,Third party,Third party,firma,0.3614645004,['Synonymous<--empresa'],Synonymous,Synonymous,Synonymous,companys,0.5107032061,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
3,britanica,0.3399015069,['Attribute or characteristic<--empresa'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,ventajas,0.4006846845,-,Undetermined,Undetermined,Undetermined,entity,0.4324395657,['Third party<--company'],Third party,Third party,Third party,organisation,0.290921092,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,scl,0.3059260845,['Companies and Organizations<--empresa'],Companies,Companies,Companies,organizacion,0.3600690961,['Synonymous<--empresa'],Third party,Third party,Third party,platform,0.4822191596,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Company
4,posible,0.3241181374,-,Undetermined,Undetermined,Undetermined,necesita,0.3951016366,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,firm,0.4308789968,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,headquartered,0.2768357992,-,Undetermined,Undetermined,Undetermined,group,0.2992516756,-,Undetermined,Undetermined,Undetermined,obtener,0.3297316134,['Action<--empresa'],Action,Action,Action,firms,0.4447455704,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,Company
5,interferencia,0.321860075,-,Action,Action,Action,personal,0.3907651305,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,platform,0.4290268421,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",facebook,0.2717842758,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,employees,0.2922827601,['Third party<--company'],Third party,Third party,Third party,relacion,0.3174971938,['Undetermined<--empresa'],Undetermined,Undetermined,Undetermined,organization,0.4429658949,['Synonymous<--company'],Third party,Third party,Third party,Company
6,investigador,0.3185388446,['Third party<--empresa'],Third party,Third party,Third party,rrhh,0.3871667981,-,Third party,Third party,Third party,facebook,0.4245358109,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,firms,0.2699719369,['Synonymous<--company'],Synonymous,Synonymous,Synonymous,reputation,0.2921235263,-,Undetermined,Undetermined,Undetermined,investigador,0.2793364525,['Third party<--empresa'],Third party,Third party,Third party,data,0.4263978601,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,Company
7,elparchede,0.3102971911,-,Undetermined,Undetermined,Undetermined,averiguarlo,0.3760528564,-,Action,Action,Action,users,0.4013303518,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,external,0.2561808527,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,clashes,0.2858338952,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,entregar,0.2781553268,['Action<--empresa'],Action,Action,Action,entity,0.4214147925,['Third party<--company'],Third party,Third party,Third party,Company
8,investigacion,0.302800566,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,nota,0.3749573231,-,Undetermined,Undetermined,Undetermined,user,0.3771312833,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,reportedly,0.2538896799,-,Undetermined,Undetermined,Undetermined,operations,0.2780065835,-,Action,Action,Action,trama,0.2577757835,['Reaction or attitude<--empresa'],Reaction or attitude,Reaction or attitude,Reaction or attitude,giant,0.4198738635,['Attribute or characteristic<--company'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,Company
9,operacion,0.3025986254,-,Action,Action,Action,contar,0.3729988635,-,Action,Action,Action,fb,0.3751019835,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,platform,0.2442421764,"['Data collection, handling and/or storage<--company', 'Data collection, handling and/or storage<--users']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",companies,0.2703864574,"['Synonymous<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Synonymous,Synonymous,Synonymous,financiar,0.2572785318,['Action<--empresa'],Action,Action,Action,user,0.4117423892,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,Company
