Information,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Felipe_latinamerica_spanish,Felipe,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Termino_Central
0,entrevistador,0.410171628,['Third party<--informacion'],Third party,Third party,Third party,representante,0.4353845119,-,Third party,Third party,Third party,info,0.8125197887,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",Synonymous,Synonymous,Synonymous,data,0.5287466049,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,info,0.4958748519,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",Synonymous,Synonymous,Synonymous,datos,0.5458341837,"['Data & Information<--empresa', 'Data & Information<--informacion', 'Data & Information<--usuarios', 'Data & Information<--privacidad']",Data & Information,Data & Information,Data & Information,info,0.8626197577,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",Synonymous,Synonymous,Synonymous,Information
1,usan,0.3731727302,"['Data collection, handling and/or storage<--informacion', 'Action<--usuarios']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",famp,0.4205536842,-,Third party,Third party,Third party,data,0.7877550125,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,info,0.4300859571,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",Synonymous,Synonymous,Synonymous,data,0.4952345788,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,info,0.3990709484,"['Synonymous<--informacion', 'Synonymous<--information', 'Data & Information<--users']",Synonymous,Synonymous,Synonymous,data,0.8211662173,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,Information
2,culpa,0.3581656814,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,aproximadamente,0.4074651301,-,Undetermined,Undetermined,Undetermined,users,0.4578669071,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,details,0.3276303411,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,details,0.4025691152,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,terceros,0.3648146987,"['Third party<--informacion', 'Third party<--usuarios', 'Third party<--privacidad']",Third party,Third party,Third party,details,0.5550885201,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,Information
3,actividad,0.3550386429,['Data & Information<--informacion'],Data & Information,Data & Information,Data & Information,biblioteca,0.4012390375,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",user,0.4140996933,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Users,Users,Users,facebook,0.3147083819,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,informations,0.3905619681,['Synonymous<--information'],Synonymous,Synonymous,Synonymous,dato,0.3364912868,['Data & Information<--informacion'],Data & Information,Data & Information,Data & Information,personal,0.4782574475,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,Information
4,datos,0.354493916,"['Data & Information<--empresa', 'Data & Information<--informacion', 'Data & Information<--usuarios', 'Data & Information<--privacidad']",Data & Information,Data & Information,Data & Information,pistas,0.3847358227,-,Undetermined,Undetermined,Undetermined,fb,0.4044979215,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,permission,0.303190887,['Ownership agency<--information'],Ownership agency,Ownership agency,Ownership agency,permission,0.3857657313,['Ownership agency<--information'],Ownership agency,Ownership agency,Ownership agency,terceras,0.3356220722,['Third party<--informacion'],Third party,Third party,Third party,users,0.4766918421,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,Information
5,aplicacion,0.3488972485,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",enfermedad,0.3826160133,-,Undetermined,Undetermined,Undetermined,details,0.3990952969,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,advertisers,0.2944227457,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,datas,0.3614359498,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,entrevistador,0.3321027756,['Third party<--informacion'],Third party,Third party,Third party,profiles,0.4545210004,"['Data & Information<--information', 'Data & Information<--users']",Data & Information,Data & Information,Data & Information,Information
6,consentimiento,0.3414820433,['Ownership agency<--informacion'],Ownership agency,Ownership agency,Ownership agency,dato,0.378549248,['Data & Information<--informacion'],Data & Information,Data & Information,Data & Information,personal,0.3989644647,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,individuals,0.2926728427,"['Third party<--information', 'Third party<--users']",Third party,Third party,Third party,sensitive,0.3124863505,['Attribute or characteristic<--information'],Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,facebook,0.3292821944,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,identifiers,0.4463235736,['Security mechanisms<--information'],Privacy & security terms,Privacy & security terms,Privacy & security terms,Information
7,fines,0.3305122256,"['Undetermined<--informacion', 'Undetermined<--usuarios']",Undetermined,Undetermined,Undetermined,organizacion,0.3732813597,['Synonymous<--empresa'],Third party,Third party,Third party,records,0.397926122,"['Data collection, handling and/or storage<--information']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",default,0.286586225,['Undetermined<--users'],Undetermined,Undetermined,Undetermined,improperly,0.3090486825,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,usuarios,0.3217802942,['Users<--informacion'],Users,Users,Users,personaldata,0.4388158917,"['Data & Information<--information', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,Information
8,porsinoloviste,0.3281885982,-,Undetermined,Undetermined,Undetermined,datos,0.3685289025,"['Data & Information<--empresa', 'Data & Information<--informacion', 'Data & Information<--usuarios', 'Data & Information<--privacidad']",Data & Information,Data & Information,Data & Information,facebook,0.3959009647,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,personal,0.2826890051,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,consent,0.3024021387,"['Ownership agency<--information', 'Ownership agency<--users', 'Ownership agency<--privacy']",Ownership agency,Ownership agency,Ownership agency,privacidad,0.3153522015,['Privacy & security terms<--informacion'],Privacy & security terms,Privacy & security terms,Privacy & security terms,private,0.4380867481,"['Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Synonymous<--privacy']",Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,Information
9,terceras,0.328153193,['Third party<--informacion'],Third party,Third party,Third party,historiales,0.3682976663,-,Data & Information,Data & Information,Data & Information,metadata,0.3813715875,['Data & Information<--information'],Data & Information,Data & Information,Data & Information,users,0.2688982189,"['Users<--company', 'Users<--information', 'Users<--privacy']",Users,Users,Users,documents,0.2993972898,-,Data & Information,Data & Information,Data & Information,consentimiento,0.3056204915,['Ownership agency<--informacion'],Ownership agency,Ownership agency,Ownership agency,records,0.4363585114,"['Data collection, handling and/or storage<--information']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Information
