,latinamerica_spanish,latinamerica_spanish_scores,latinamerica_spanish_recomendacion,Andrea,Felipe_latinamerica_spanish,Acuerdo_latinamerica_spanish,europe_spanish,europe_spanish_scores,europe_spanish_recomendacion,Andrea,Felipe_europe_spanish,Acuerdo_europe_spanish,northamerica_english,northamerica_english_scores,northamerica_english_recomendacion,Andrea,Felipe_northamerica_english,Acuerdo_northamerica_english,europe_english,europe_english_scores,europe_english_recomendacion,Andrea,Felipe_europe_english,Acuerdo_europe_english,asia_english,asia_english_scores,asia_english_recomendacion,Andrea,Felipe_asia_english,Acuerdo_asia_english,full_spanish,full_spanish_scores,full_spanish_recomendacion,Andrea,Felipe_full_spanish,Acuerdo_full_spanish,full_english,full_english_scores,full_english_recomendacion,Andrea,Felipe_full_english,Acuerdo_full_english,Término Central
0,terceros,0.4529654384,"['Third party<--informacion', 'Third party<--usuarios', 'Third party<--privacidad']",Third party,Third party,Third party,sensibles,0.5043535233,"['Attribute or characteristic<--usuarios', 'Undetermined<--privacidad']",Undetermined,Undetermined,Undetermined,user,0.7286224365,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Synonymous,Synonymous,Synonymous,user,0.5366316438,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Synonymous,Synonymous,Synonymous,user,0.4712017179,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Synonymous,Synonymous,Synonymous,terceros,0.4837800562,"['Third party<--informacion', 'Third party<--usuarios', 'Third party<--privacidad']",Third party,Third party,Third party,user,0.7928420305,"['Users<--company', 'Users<--information', 'Synonymous<--users', 'Users<--privacy']",Synonymous,Synonymous,Synonymous,Usuarios
1,ilegal,0.4366105199,['Privacy & security risks<--usuarios'],Privacy & security risks,Privacy & security risks,Privacy & security risks,personas,0.5024374127,['Users<--usuarios'],Users,Users,Users,consumers,0.560415566,"['Users<--users', 'Users<--privacy']",Users,Users,Users,facebook,0.4794464409,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,filipinos,0.3763120174,-,Third party,Third party,Third party,sensibles,0.4439132214,"['Attribute or characteristic<--usuarios', 'Undetermined<--privacidad']",Undetermined,Undetermined,Undetermined,consumers,0.6069434285,"['Users<--users', 'Users<--privacy']",Users,Users,Users,Usuarios
2,personas,0.4250303209,['Users<--usuarios'],Users,Users,Users,terceros,0.4832793772,"['Third party<--informacion', 'Third party<--usuarios', 'Third party<--privacidad']",Third party,Third party,Third party,data,0.5449972153,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,people,0.4551019669,['Users<--users'],Users,Users,Users,citizens,0.3694897592,['Users<--users'],Users,Users,Users,ciudadanos,0.4174074531,['Users<--usuarios'],Users,Users,Users,personal,0.5950304866,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,Usuarios
3,clientes,0.424090147,"['Users<--empresa', 'Third party<--usuarios']",Users,Users,Users,permiso,0.4816969931,-,Ownership agency,Ownership agency,Ownership agency,personal,0.5178859234,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,data,0.4395225942,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,unauthorized,0.3627595901,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,ilegalmente,0.4153827131,"['Privacy & security risks<--empresa', 'Privacy & security risks<--informacion', 'Privacy & security risks<--usuarios']",Privacy & security risks,Privacy & security risks,Privacy & security risks,peoples,0.5744459629,['Users<--users'],Users,Users,Users,Usuarios
4,permitio,0.4168027639,-,Action,Action,Action,descargas,0.4696538746,-,Undetermined,Undetermined,Undetermined,facebook,0.5100252628,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,personal,0.4270367026,"['Attribute or characteristic<--company', 'Attribute or characteristic<--informacion', 'Attribute or characteristic<--information', 'Attribute or characteristic<--users', 'Attribute or characteristic<--privacy']",Privacy & security terms,Privacy & security terms,Privacy & security terms,customers,0.3446952701,['Third party<--users'],Users,Users,Users,usurarios,0.414681375,['Synonymous<--usuarios'],Synonymous,Synonymous,Synonymous,subscribers,0.5649333,['Users<--users'],Users,Users,Users,Usuarios
5,vendida,0.4066651762,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,fuga,0.4584329426,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,privacy,0.5001503229,['Privacy & security terms<--users'],Privacy & security terms,Privacy & security terms,Privacy & security terms,advertisers,0.408324182,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,people,0.3402783573,['Users<--users'],Users,Users,Users,autorizacion,0.4061644077,"['Ownership agency<--informacion', 'Ownership agency<--usuarios']",Ownership agency,Ownership agency,Ownership agency,customers,0.5526234508,['Third party<--users'],Users,Users,Users,Usuarios
6,perfiles,0.3958944976,"['Data & Information<--informacion', 'Data & Information<--usuarios']",Data & Information,Data & Information,Data & Information,activos,0.4572659731,-,Attribute or characteristic,Attribute or characteristic,Attribute or characteristic,people,0.5001347065,['Users<--users'],Users,Users,Users,consumers,0.3857722282,"['Users<--users', 'Users<--privacy']",Users,Users,Users,facebook,0.3363274336,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,perfiles,0.4005331099,"['Data & Information<--informacion', 'Data & Information<--usuarios']",Data & Information,Data & Information,Data & Information,people,0.5512360334,['Users<--users'],Users,Users,Users,Usuarios
7,comprometidos,0.3836166561,-,Privacy & security risks,Privacy & security risks,Privacy & security risks,euros,0.4538776278,-,Undetermined,Undetermined,Undetermined,customers,0.4969683886,['Third party<--users'],Users,Users,Users,privacy,0.3855776787,['Privacy & security terms<--users'],Privacy & security terms,Privacy & security terms,Privacy & security terms,indians,0.3343223333,-,Third party,Third party,Third party,personales,0.3991017938,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",Privacy & security terms,Privacy & security terms,Privacy & security terms,facebook,0.522990346,"['Companies and Organizations<--empresa', 'Companies and Organizations<--company', 'Companies and Organizations<--informacion', 'Companies and Organizations<--information', 'Companies and Organizations<--usuarios', 'Companies and Organizations<--users', 'Companies and Organizations<--privacidad', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Usuarios
8,utilizados,0.3805640936,['Action<--usuarios'],Action,Action,Action,sufre,0.4467607141,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,fb,0.4888999462,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,peoples,0.3656495214,['Users<--users'],Users,Users,Users,storing,0.3333315551,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",utilizados,0.3653601706,['Action<--usuarios'],Action,Action,Action,data,0.5185168982,"['Data & Information<--company', 'Data & Information<--information', 'Data & Information<--users', 'Data & Information<--privacy']",Data & Information,Data & Information,Data & Information,Usuarios
9,principio,0.3772750497,-,Undetermined,Undetermined,Undetermined,obtuvo,0.4428228736,-,"Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",peoples,0.4769526124,['Users<--users'],Users,Users,Users,citizens,0.3638859391,['Users<--users'],Users,Users,Users,tens,0.3306736946,-,Undetermined,Undetermined,Undetermined,personas,0.3443576992,['Users<--usuarios'],Users,Users,Users,fb,0.5131953955,"['Companies and Organizations<--company', 'Companies and Organizations<--information', 'Companies and Organizations<--users', 'Companies and Organizations<--privacy']",Companies,Companies,Companies,Usuarios
10,personales,0.3765990734,"['Attribute or characteristic<--informacion', 'Attribute or characteristic<--usuarios']",Privacy & security terms,Privacy & security terms,Privacy & security terms,exige,0.4392947257,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,apps,0.4579537809,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",europeans,0.3619982004,-,Third party,Third party,Third party,improperly,0.3271709085,-,Reaction or attitude,Reaction or attitude,Reaction or attitude,ilegal,0.3395749331,['Privacy & security risks<--usuarios'],Privacy & security risks,Privacy & security risks,Privacy & security risks,apps,0.5116177201,"['Data collection, handling and/or storage<--information', 'Data collection, handling and/or storage<--users', 'Data collection, handling and/or storage<--privacy']","Data collection, handling and/or storage","Data collection, handling and/or storage","Data collection, handling and/or storage",Usuarios
